Kanji,Heisig_Keyword
夙,earlybird
鳳,phoenix
劉,slaughter
刹,moment
剥,peel_off
剃,shave
勾,flexed
厭,despondent
雁,wild_goose
贋,counterfeit
厨,kitchen
仄,insinuate
哨,scout
嘲,derision
咎,reprehend
囁,whisper
喋,chatter
咽,windpipe
嘩,quarrel
咳,cough
喧,clamor
喉,throat
唾,saliva
叩,bash
啄,peck_at
呪,curse
吠,barking
吊,dangle
噛,chew
叶,within_my_ability
吻,sides_of_the_mouth
吃,stammer
噺,spin_a_tale
噌,miso
唄,pop_song
邑,city_walls
喰,ingest
埴,clay
坤,authochthonous
堆,piled_high
壕,dugout
垢,blemish
坦,flat
埠,wharf
填,stuff_up
堰,dam
堵,railing
嬰,suckling_infant
姦,violate
妬,jealous
婢,handmaiden
婉,well_finished
娼,harlot
妓,courtesan
娃,fair
姪,niece
嫉,envy
嬬,mistress
姥,aged_woman
姑,mother-in-law
姐,young_miss
嬉,overjoyed
孕,expecting
孜,assiduous
宥,soothe
寓,imply
宏,extensive
牢,jail
塞,block_up
宋,Sung_dynasty
宍,venison
屠,butchering
屁,fart
屑,rubbish
屡,frequently
屍,corpse
屏,folding_screen
嵩,high-reaching
崚,rugged_mountains
峨,high_mountain
嶺,mountaintop
嵌,fit_into
嵯,rocky
帖,quire
幡,banner
幟,pennant
庖,cleaver
廓,licensed_quarters
庇,overhang
鷹,hawk
庄,shire
廟,tomb_sanctuary
彊,strengthen
弥,more_and_more
弛,loosen
粥,rice_gruel
挽,lathe
撞,bump_into
扮,disguise
掠,pillage
掴,clutch
捺,impress
捻,wrenching
掻,scratch
撰,assortment
捌,deal_with
撹,churn_up
摺,rubbing
按,press_down_on
捉,nab
播,disseminate
揖,interpretation
托,receptable
捧,dedicate_(RTK3)
撚,twirl
挺,counter_for_tools
擾,commotion
捗,make_headway
撫,petting
撒,sprinkle
擢,outstanding
捷,spoils
抉,gouge_out
怯,wince
惟,ponder
惚,infatuation
怜,quickwitted
惇,considerate
憧,yearn
恰,as_if
恢,enlarge
悌,respect_for_elders
湧,bubble_up
澪,canal
洸,glistening
滉,bounding_main
漱,gargle
洲,continent
洵,swirling_waters
滲,seep
洒,rinse
沐,douse
泪,teardrops
渾,gushing
沙,grains_of_sand
涜,blaspheme
淫,lewd
梁,roofbeam
澱,sediment
洛,old_Kyoto
汝,thou
漉,filter
瀕,on_the_verge_of
濠,moat
溌,spray
溺,drowning
湊,port
淋,solitude
浩,abounding
汀,water's_edge
鴻,large_goose
潅,souse
溢,brimming
汰,cleanse
湛,inundate
淳,immaculate
渥,moisten
灘,rough_seas
汲,draw_water
瀞,river_pool
溜,cumulation
渕,abyss
沌,chaos
汎,pan
濾,strainer
淀,eddy
涅,fabrication
釜,cauldron
斧,hatchet
爺,grandpa
猾,sly
猥,indecent
狡,cunning
狸,racoon_dog
狼,wolf
狽,flustered
狗,pup
狐,fox
狛,a-un
獅,lion
狒,baboon
莨,tobacco
茉,jasmine
莉,hawthorn
苺,strawberry
萩,bush_clover
藝,technique_[old]
薙,trim
蓑,straw_raincoat
萎,numb
苔,moss
蕩,prodigal
蔽,cover_over
蔓,tendril
蓮,lotus
芙,lotus_flower
蓉,lotus_blossom
蘭,orchid
芦,hollow_reed
薯,yam
菖,iris
蕉,banana
芯,wick
蕎,buckwheat
蕗,butterbur
藍,indigo
茄,eggplant
苛,bullying
蔭,behind_the_scenes
蓬,wormwood
芥,mustard
萌,germinate
葡,grape
萄,grape_vine
蕃,grow_wild
苓,cocklebur
菰,rush_mat
蒙,darken
茅,grassy_reed
芭,plantain
苅,mow
蓋,lid
葱,onion
葵,hollyhock
葺,shingling
蕊,stamen
茸,mushroom
蒔,sowing
芹,parsley
苫,thatching
葛,kudzu
蒼,pale_blue
藁,straw
蕪,turnip
藷,sweet_potato
薮,quack
蒜,garlic
蕨,bracken
蔚,grow_plentiful
茜,madder_red
莞,candle_rush
蒐,collector
菅,sedge
葦,ditch_reed
迪,Way
辿,track_down
這,crawl
迂,detour
遁,elude_(RTK3)
逢,tryst
遥,far_off
遼,remote_(RTK3)
逼,pressing
迄,until
逗,standstill
郁,cultured
鄭,courtesy
隙,chink
隈,nook
憑,possessed
惹,attract
悉,without_exception
忽,instantaneously
惣,firstborn_son
愈,in_the_nick_of_time
恕,sensitive
昴,overarching
晋,progress
曖,equivocal
晟,aglow
暈,halo
暉,glitter
旱,dry_weather
晏,clear_skies
晨,morrow
晒,bleaching
昧,obscure
晃,limpid
曝,air_out
曙,dawn
昂,elevate
旺,effulgent
昏,dusk
晦,last_day_of_the_month
股,thigh
膿,pus
腑,viscera
胱,bladder
胚,embryo
肛,anus
臆,cowardice
膝,knee
脆,fragile
肋,rib
肘,elbow
腔,body_cavity
腺,gland
腫,tumor
膳,dining_tray
肱,armrest
胡,uncivilized
楓,maple_tree
楊,purple_willow
椋,Oriental_elm
榛,hazel
櫛,comb
槌,wooden_hammer
樵,mallet
梯,ladder
椅,chair
柿,persimmon
柑,citrus_tree
杭,picket
柊,holly
柚,citron
椀,wooden_bowl
栂,hemlock
柾,spindle_tree
榊,sacred_Shinto_tree
樫,evergreen_oak
槙,Chinese_black_pine
楢,Japanese_oak
橘,mandarin_orange
桧,Japanese_cypress
棲,roost
栖,nestle
梗,spiny
桔,bellflower
杜,temple_grove
杷,grain_rake
梶,oar
杵,wooden_pestle
杖,cane
椎,sweet_oak
樽,barrel
柵,palisade
櫓,turret
橿,sturdy_oak
杓,wooden_ladle
李,damson
棉,raw_cotton
楯,escutcheon
榎,hackberry
樺,birch
槍,lance
柘,wild_mulberry
枇,loquat
樋,downspout
橇,sled
槃,enjoyment
栞,bookmark
椰,coconut_tree
檀,sandalwood
樗,plotosid
槻,zelkova
椙,cryptomeria
彬,copious
桶,bucket
楕,ellipse
樒,star-anise
毬,furball
燿,twinkle
燎,watchfire
炬,torch
焚,kindle
灸,moxa
燭,candlelight
煽,fanning
煤,soot
煉,firing
燦,dazzling
灼,refulgent
烙,branding
焔,flames
熔,fuse_metal
煎,roast
烹,stew
牽,tug
牝,female_animal
牡,male_animal
瑶,precious_stone
琳,chime
瑠,marine_blue
斑,speckled
琉,lapis_lazuli
弄,tinker_with
瑳,burnish
琢,hone
珊,coral
瑚,coral_reef
瑞,fortunate
珪,silicon
玖,jet
瑛,crystal_stone
玩,toy
玲,tinkling
畏,apprehensive
畢,lastly
畦,paddy-field_ridge
痒,itch
痰,phlegm
疹,measles
痔,hemorrhoids
癌,cancer
痩,lose_weight
痕,scar
痺,paralysis
眸,apple_of_the_eye
眩,dizzy
瞭,obvious
眉,eyebrow
雉,pheasant
矩,carpenter's_square
磐,crag
碇,grapnel
碧,blue-green
硯,inkstone
砥,grindstone
碗,teacup
碍,obstacle
碩,illustrious
磯,rocky_beach
砺,whetstone
碓,mill
禦,fend_off
祷,beseech
祐,ancestral_tablet
祇,local_god
祢,ancestral_shrine
禄,salarium
禎,felicitation
秤,balancing_scales
黍,millet
禿,bald
稔,bear_fruit
稗,crabgrass
穣,bumper_crop
稜,imperial_authority
穆,obeisant
窺,peep
窄,tight
窟,cavern
穿,drill
竃,kitchen_stove
竪,longness
颯,rustling
站,outpost
靖,repose
妾,concubine
衿,lapel
裾,hem
袷,lined_kimono
袴,pleated_skirt
襖,sliding_door
笙,Chinese_panpipe
筏,raft
簾,bamboo_blinds
箪,rattan_box
竿,pole
箆,spatula
箔,foil
笥,wardrobe
箭,arrow_shaft
筑,ancient_harp
篭,cage
篠,slender_bamboo
箸,chopsticks
纂,redaction
竺,bamboo_cane
箕,winnowing_fan
笈,backpack
篇,livraison
筈,should
簸,winnow
粕,settlings
糟,lees
糊,paste
籾,unhulled_rice
糠,rice_bran
糞,excrement
粟,foxtail_millet
繋,link_up
綸,twine
絨,carpet_yarn
絆,ties
緋,scarlet
綜,synthesis
紐,string
紘,chinstrap
纏,summarize
絢,gorgeous
繍,embroidery
紬,pongee
綺,ornate
綾,damask
絃,catgut
縞,stripe
綬,gimp
紗,gossamer
舵,rudder
舷,gunwale
聯,strung_together
聡,attentive
聘,summons
耽,addiction
耶,exclamation
蚤,flea
蟹,crab
蛋,protein
蟄,hibernation
蝿,housefly
蟻,ant
蜂,bee
蝋,wax
蝦,shrimp
蛸,octopus
螺,screw
蝉,cicada
蛙,frog
蛾,moth
蛤,clam
蛭,leech
蛎,oyster
罫,ruled_lines
罵,insult
袈,stole
裟,monk's_sash
戴,accept_humbly
截,incision
哉,I_wonder
詢,counsel
諄,polite
讐,vendetta
諌,remonstrate
諒,verify
讃,compliment
訊,query
訣,split_up
詣,visit_a_shrine
詮,elucidate
詑,prevarication
誼,familiarity
謬,fallible
詫,beg_pardon
諏,advise
諺,proverb
誹,slander
謂,so-called
諜,secret_agent
註,footnote
譬,parable
轟,rumble
輔,reinforce
輻,spoke
輯,assemble
貌,countenance
豹,panther
賎,despicable
貰,get
躓,stumble
蹄,hoof
蹟,vestiges
跨,straddle
跪,kneel
醤,soy_sauce
醍,whey
酎,hooch
醐,ghee
醒,awakening
醇,strong_saké
麺,noodles
麹,malt
釦,button
銚,keg
鋤,plow
鏑,arrowhead
鋸,handsaw
錐,awl
鍬,hoe
鋲,rivet
錫,tin
錨,anchor
釘,nail
鑓,javelin
鋒,sword's_point
鎚,hammer
鉦,carillion
錆,rust
鍾,cluster
鋏,scissors
閃,flash
悶,agony
閤,side_gate
雫,trickle
霞,haze
翰,quill
斡,auspices
鞍,saddle
鞭,whip
鞘,saddle_straps
鞄,briefcase
靭,pliable
鞠,terminate
頓,immediate
顛,overturn
穎,brush_tip
頬,cheek
頗,exceedingly
頌,accolade
顎,chin
頚,neck_and_throat
餐,repast
饗,feast
蝕,eclipse
飴,sweets
餅,mochi
駕,stretcher
騨,piebald
馳,rush
騙,cheat
馴,tame
駁,rebuttal
駈,gallop
驢,donkey
鰻,eel
鯛,sea_bream
鰯,sardine
鱒,trout
鮭,salmon
鮪,tuna
鮎,sweet_smelt
鯵,horse_mackerel
鱈,cod
鯖,mackerel
鮫,shark
鰹,bonito
鰍,bullhead
鰐,alligator
鮒,crucian
鮨,sushi
鰭,fish_fin
鴎,seagull
鵬,roc
鸚,parakeet
鵡,parrot
鵜,cormorant
鷺,heron
鷲,eagle
鴨,wild_duck
鳶,kite_falcon
梟,owl
塵,dust
麓,foot_of_a_mountain
麒,giraffe
冥,Hades
瞑,close_the_eyes
暝,murky
坐,sitting_in_mediation
朔,first_day_of_the_month
遡,go_upstream
曳,drag
洩,dribble_out
彗,comet
慧,astute
嘉,applaud
兇,evil
兜,helmet
爽,bracing
欝,depressed
劫,kalpa
勃,erection
歎,bemoan
輿,palanquin
巽,southeast
翠,jade_green
黛,blue-black
鼎,tripod
鹵,rocksalt
鹸,lye
虔,reserved
燕,swallow
嘗,lick
殆,almost
孟,start
牌,mahjong_tiles
骸,remains
覗,peek
彪,mottled
秦,Manchu_dynasty
雀,sparrow
隼,peregrine_falcon
耀,shimmering
夷,ebisu
嚢,cyst
暢,carefree
廻,circling
畿,capital_suburbs
欣,elation
毅,stalwart
斯,this
匙,wooden_spoon
匡,set_straight
肇,founding
麿,Utamaro
叢,conglomerate
肴,entreat
斐,symmetrically_patterned
卿,magistrate
翫,fiddle_with
於,within
套,hackneyed
叛,rebellion
尖,sharp_point
壷,crock
叡,sapience
酋,chieftain
鴬,nightingale
赫,incandescent
臥,supinate
甥,nephew
瓢,gourd
琵,biwa
琶,lute
叉,forked
舜,rose_of_Sharon
畠,dry_field
圃,vegetable_patch
丞,helping_hand
亮,translucent
胤,blood_relative
疏,transcription
膏,ointment
魁,pioneer
馨,ambrosial
牒,label
瞥,glimpse
阜,large_hill
睾,testicle
巫,sorceress
敦,empathetic
奎,Andromeda
翔,soar
皓,beaming
黎,tenebrous
赳,bold
已,stop_short
棘,thornbush
聚,crowd
甦,resucitate
剪,pruning
躾,upbringing
夥,plentiful
鼾,snore
祟,cast_a_spell
粁,kilometer
糎,centimeter
粍,millimeter
噸,ton
哩,mile
浬,nautical_mile
吋,inch
呎,feet
梵,brahman
陀,Shakyamuni_Buddha
薩,bodhisattva
菩,bo_tree
唖,babble
迦,Sanskrit_ka
那,interrogative
牟,moo
珈,jeweled_hairpin
琲,beaded_hairpin
檜,Japanese_cypress_[old]
轡,bridle's_bit
淵,abyss_[old]
伍,V
什,X
萬,ten_thousand_[old]
邁,pass_through
逞,tough
燈,lamp_[old]
裡,back_[old]
薗,park_[alternate]
鋪,shop_[alternate]
嶋,island_[alternate]
峯,summit_[alternate]
巌,boulder_[old]
埜,plains_[old]
舘,Bldg._[old]
龍,dragon_[old]
寵,patronage
聾,deafness
慾,longing_[old]
亙,span_[old]
躯,body_[old]
嶽,Point_[old]
國,country_[old]
脛,shin
勁,formidable
箋,stationary
祀,enshrine
祓,exorcism
躇,dither
壽,longevity_[old]
躊,hesitate
彙,glossary
饅,bean_jam
嘔,retch
鼈,snapping_turtle
亨,go_smoothly
侑,condone
梧,parasol_tree
欽,circumspect
煕,cheer
而,and_then
掟,mandate
亦,
凜,
熙,
姶,
虻,
厩,
閏,
荏,
盈,
鴛,
珂,
禾,
劃,
椛,
萱,
桓,
澗,
徽,
掬,
砧,
渠,
釧,
沓,
粂,
卦,
祁,
荊,
戟,
捲,
乎,
鈷,
巷,
庚,
鵠,
甑,
艮,
堺,
鴫,
蔀,
戎,
廠,
樟,
湘,
蒋,
壬,
栴,
舛,
岨,
曾,
楚,
匝,
鎗,
其,
柁,
岱,
腿,
鐸,
蜘,
瀦,
苧,
鍔,
轍,
甜,
菟,
鍍,
塘,
宕,
淘,
董,
鐙,
鴇,
橡,
椴,
乍,
盃,
楳,
矧,
硲,
醗,
塙,
匪,
毘,
弼,
斌,
弗,
娩,
戊,
鉾,
緬,
摸,
杢,
涌,
猷,
莱,
葎,
漣,
魯,
婁,
儘,
凰,
檮,
鬱,
濤,
漑,
礦,
龝,
籠,
苒,
蛛,
迺,
鉤,
韃,
鴦,
穐,
頴,
鈎,
栢,
砿,
碕,
咋,
瀧,
梼,
涛,
迩,
禰,
廼,
櫨,
釆,
冨,
桝,
榔,
弌,
丕,
个,
丱,
丶,
丿,
乂,
乖,
乘,
亂,
亅,
豫,
亊,
舒,
弍,
于,
亞,
亟,
亠,
亢,
亰,
亳,
亶,
从,
仍,
仆,
仂,
仗,
仞,
仭,
仟,
价,
伉,
佚,
估,
佛,
佝,
佗,
佇,
佶,
侈,
侏,
侘,
佻,
佩,
佰,
佯,
來,
侖,
俔,
俟,
俎,
俘,
俛,
俑,
俚,
俐,
俤,
俥,
倚,
倨,
倔,
倪,
倥,
伜,
俶,
倡,
倩,
倬,
俾,
俯,
們,
倆,
偃,
假,
會,
偕,
偐,
偈,
偖,
偬,
偸,
傀,
傚,
傅,
傴,
傲,
僉,
僊,
傳,
僂,
僖,
僞,
僥,
僭,
僣,
僮,
價,
僵,
儉,
儁,
儂,
儖,
儕,
儔,
儚,
儡,
儺,
儷,
儼,
儻,
儿,
兀,
兒,
兌,
兔,
兢,
竸,
兩,
兪,
兮,
冀,
冂,
囘,
册,
冉,
冏,
冑,
冓,
冕,
冖,
冤,
冦,
冢,
冩,
冪,
冫,
决,
冱,
冲,
冰,
况,
冽,
凅,
凉,
几,
處,
凩,
凭,
凵,
凾,
刄,
刋,
刔,
刎,
刧,
刪,
刮,
刳,
剏,
剄,
剋,
剌,
剞,
剔,
剴,
剩,
剳,
剿,
剽,
劍,
劔,
劒,
剱,
劈,
劑,
辨,
辧,
劬,
劭,
劼,
劵,
勍,
勗,
勞,
勣,
勦,
飭,
勠,
勳,
勵,
勸,
勹,
匆,
匈,
甸,
匍,
匐,
匏,
匚,
匣,
匯,
匱,
匳,
匸,
區,
卆,
卅,
丗,
卉,
卍,
凖,
卞,
卩,
卮,
夘,
卻,
卷,
厂,
厠,
厦,
厥,
厮,
厰,
厶,
參,
簒,
雙,
叟,
燮,
叮,
叨,
叭,
叺,
吁,
吽,
呀,
听,
吭,
吼,
吮,
吶,
吩,
吝,
咏,
呵,
呟,
呱,
呷,
呰,
咒,
呻,
咀,
呶,
咄,
咐,
咆,
哇,
咢,
咸,
咥,
咬,
哄,
哈,
咨,
咫,
哂,
咤,
咾,
咼,
哘,
哥,
哦,
唏,
唔,
哽,
哮,
哭,
哺,
哢,
唹,
啀,
啣,
啌,
售,
啜,
啅,
啖,
啗,
唸,
唳,
啝,
喙,
喀,
咯,
喊,
喟,
啻,
啾,
喘,
喞,
單,
啼,
喃,
喩,
喇,
喨,
嗚,
嗅,
嗟,
嗄,
嗜,
嗤,
嗔,
嗷,
嘖,
嗾,
嗽,
嘛,
嗹,
噎,
噐,
營,
嘴,
嘶,
嘸,
噫,
噤,
嘯,
噬,
噪,
嚆,
嚀,
嚊,
嚠,
嚔,
嚏,
嚥,
嚮,
嚶,
嚴,
囂,
嚼,
囃,
囀,
囈,
囎,
囑,
囓,
囗,
囮,
囹,
圀,
囿,
圄,
圉,
圈,
圍,
圓,
團,
圖,
嗇,
圜,
圦,
圷,
圸,
坎,
圻,
址,
坏,
坩,
埀,
垈,
坡,
坿,
垉,
垓,
垠,
垳,
垤,
垪,
垰,
埃,
埆,
埔,
埒,
埓,
堊,
埖,
埣,
堋,
堙,
堝,
塲,
堡,
塢,
塋,
塰,
塒,
堽,
塹,
墅,
墹,
墟,
墫,
墺,
壞,
墻,
墸,
墮,
壅,
壓,
壑,
壗,
壙,
壘,
壥,
壜,
壤,
壟,
壯,
壺,
壹,
壻,
壼,
夂,
夊,
夐,
夛,
梦,
夬,
夭,
夲,
夸,
夾,
竒,
奕,
奐,
奚,
奘,
奢,
奠,
奧,
奬,
奩,
奸,
妁,
妝,
佞,
侫,
妣,
妲,
姆,
姨,
姜,
妍,
姙,
姚,
娥,
娟,
娑,
娜,
娉,
娚,
婀,
婬,
娵,
娶,
婪,
媚,
媼,
媾,
嫋,
嫂,
媽,
嫣,
嫗,
嫦,
嫩,
嫖,
嫺,
嫻,
嬋,
嬖,
嬲,
嫐,
嬪,
嬶,
嬾,
孃,
孅,
孀,
孑,
孚,
孛,
孥,
孩,
孰,
孳,
孵,
學,
斈,
孺,
宀,
它,
宦,
宸,
寃,
寇,
寉,
寔,
寐,
寤,
實,
寢,
寞,
寥,
寫,
寰,
寶,
寳,
尅,
將,
專,
對,
尓,
尠,
尢,
尨,
尸,
尹,
屆,
屎,
屓,
屐,
孱,
屬,
屮,
乢,
屶,
屹,
岌,
岑,
岔,
妛,
岫,
岻,
岶,
岼,
岷,
峅,
岾,
峇,
峙,
峩,
峽,
峺,
峭,
嶌,
峪,
崋,
崕,
崗,
嵜,
崟,
崛,
崑,
崔,
崢,
崙,
崘,
嵒,
嵎,
嵋,
嵬,
嵳,
嵶,
嶇,
嶄,
嶂,
嶢,
嶝,
嶬,
嶮,
嶐,
嶷,
嶼,
巉,
巍,
巓,
巒,
巖,
巛,
巵,
帋,
帚,
帙,
帑,
帛,
帶,
帷,
幄,
幃,
幀,
幎,
幗,
幔,
幢,
幤,
幇,
幵,
并,
幺,
麼,
广,
庠,
廁,
廂,
廈,
廐,
廏,
廖,
廣,
廝,
廚,
廛,
廢,
廡,
廨,
廩,
廬,
廱,
廳,
廰,
廴,
廸,
廾,
弃,
弉,
彝,
彜,
弋,
弑,
弖,
弩,
弭,
弸,
彁,
彈,
彌,
彎,
弯,
彑,
彖,
彡,
彭,
彳,
彷,
徃,
徂,
彿,
徊,
很,
徑,
徇,
從,
徙,
徘,
徠,
徨,
徭,
徼,
忖,
忻,
忤,
忸,
忱,
忝,
悳,
忿,
怡,
恠,
怙,
怐,
怩,
怎,
怱,
怛,
怕,
怫,
怦,
怏,
怺,
恚,
恁,
恪,
恷,
恟,
恊,
恆,
恍,
恣,
恃,
恤,
恂,
恬,
恫,
恙,
悁,
悍,
惧,
悃,
悚,
悄,
悖,
悗,
悒,
悧,
悋,
惡,
悸,
惠,
惓,
悴,
忰,
悽,
惆,
悵,
惘,
慍,
愕,
愆,
惶,
惷,
愀,
惴,
惺,
愃,
愡,
惻,
惱,
愍,
愎,
慇,
愾,
愨,
愧,
慊,
愿,
愼,
愬,
愴,
愽,
慂,
慄,
慳,
慷,
慘,
慙,
慚,
慫,
慴,
慯,
慥,
慱,
慟,
慝,
慓,
慵,
憙,
憖,
憇,
憬,
憔,
憚,
憊,
憫,
憮,
懌,
懊,
應,
懷,
懈,
懃,
懆,
憺,
懋,
罹,
懍,
懦,
懣,
懶,
懴,
懿,
懽,
懼,
懾,
戀,
戈,
戉,
戍,
戌,
戔,
戛,
戞,
戡,
戮,
戰,
戲,
戳,
扁,
扎,
扞,
扣,
扛,
扠,
扨,
扼,
抂,
找,
抒,
抓,
抖,
拔,
抃,
抔,
拗,
拑,
抻,
拏,
拿,
拆,
擔,
拈,
拜,
拌,
拊,
拂,
拇,
抛,
拉,
挌,
拮,
拱,
挧,
挂,
挈,
拯,
拵,
捐,
挾,
捍,
搜,
捏,
掖,
掎,
掀,
掫,
捶,
掣,
掏,
掉,
掵,
捫,
捩,
掾,
揩,
揀,
揆,
揣,
揉,
插,
揶,
揄,
搖,
搴,
搆,
搓,
搦,
搶,
攝,
搗,
搨,
搏,
摧,
摯,
摶,
摎,
攪,
撕,
撓,
撥,
撩,
撈,
撼,
據,
擒,
擅,
擇,
撻,
擘,
擂,
擱,
擧,
舉,
擠,
擡,
抬,
擣,
擯,
攬,
擶,
擴,
擲,
擺,
攀,
擽,
攘,
攜,
攅,
攤,
攣,
攫,
攴,
攵,
攷,
收,
攸,
畋,
效,
敖,
敕,
敍,
敘,
敞,
敝,
敲,
數,
斂,
斃,
變,
斛,
斟,
斫,
斷,
旃,
旆,
旁,
旄,
旌,
旒,
旛,
旙,
无,
旡,
杲,
昊,
昃,
旻,
杳,
昵,
昶,
昜,
晄,
晉,
晁,
晞,
晝,
晤,
晧,
晢,
晰,
暃,
暎,
暄,
暘,
曁,
暹,
曉,
暾,
暼,
曄,
暸,
曚,
曠,
昿,
曦,
曩,
曵,
曷,
朏,
朖,
朞,
朦,
朧,
霸,
朮,
朿,
朶,
杁,
朸,
朷,
杆,
杞,
杠,
杙,
杣,
杤,
枉,
杰,
枩,
杼,
杪,
枌,
枋,
枦,
枡,
枅,
枷,
柯,
枴,
柬,
枳,
柩,
枸,
柤,
柞,
柝,
柢,
柮,
枹,
柎,
柆,
柧,
框,
栩,
桀,
桍,
栲,
桎,
梳,
栫,
桙,
档,
桷,
桿,
梏,
梭,
梔,
條,
梛,
梃,
梹,
桴,
梠,
梺,
椏,
梍,
桾,
椁,
棊,
椈,
椢,
椦,
棡,
椌,
棍,
棔,
棧,
棕,
椶,
椒,
椄,
棗,
棣,
椥,
棹,
棠,
棯,
椨,
椪,
椚,
椣,
椡,
棆,
楹,
楷,
楜,
楸,
楫,
楔,
楾,
楮,
椹,
楴,
椽,
楙,
楡,
楞,
楝,
榁,
楪,
榲,
榮,
槐,
榿,
槁,
槓,
榾,
槎,
寨,
槊,
槝,
榻,
榧,
樮,
榑,
榠,
榜,
榕,
榴,
槞,
槨,
樂,
樛,
槿,
權,
槹,
槲,
槧,
樅,
榱,
樞,
槭,
樔,
槫,
樊,
櫁,
樣,
樓,
橄,
樌,
橲,
樶,
橸,
橢,
橙,
橦,
橈,
樸,
樢,
檐,
檍,
檠,
檄,
檢,
檣,
檗,
蘗,
檻,
櫃,
櫂,
檸,
檳,
檬,
櫞,
櫑,
櫟,
檪,
櫚,
櫪,
櫻,
欅,
蘖,
櫺,
欒,
欖,
欟,
欸,
欷,
盜,
欹,
飮,
歇,
歃,
歉,
歐,
歙,
歔,
歛,
歟,
歡,
歸,
歹,
歿,
殀,
殄,
殃,
殍,
殘,
殕,
殞,
殤,
殪,
殫,
殯,
殲,
殱,
殳,
殷,
殼,
毆,
毋,
毓,
毟,
毫,
毳,
毯,
麾,
氈,
氓,
气,
氛,
氤,
氣,
汞,
汕,
汢,
汪,
沂,
沍,
沚,
沁,
沛,
汾,
汨,
汳,
沒,
泄,
泱,
泓,
沽,
泗,
泅,
泝,
沮,
沱,
沾,
沺,
泛,
泯,
泙,
洟,
衍,
洶,
洫,
洽,
洙,
洳,
洌,
浣,
涓,
浤,
浚,
浹,
浙,
涎,
涕,
淹,
渊,
涵,
淇,
淦,
涸,
淆,
淬,
淞,
淌,
淨,
淒,
淅,
淺,
淙,
淤,
淕,
淪,
淮,
渭,
湮,
渮,
渙,
湲,
湟,
渣,
湫,
渫,
湶,
湍,
渟,
湃,
渺,
湎,
渤,
滿,
渝,
游,
溂,
溪,
溘,
溷,
滓,
溽,
溯,
滄,
溲,
滔,
滕,
溏,
溥,
滂,
溟,
潁,
灌,
滬,
滸,
滾,
漿,
滯,
漲,
滌,
漾,
漓,
滷,
澆,
潺,
潸,
澁,
澀,
潯,
潛,
濳,
潭,
澂,
潼,
潘,
澎,
澑,
濂,
潦,
澳,
澣,
澡,
澤,
澹,
濆,
濟,
濕,
濬,
濔,
濘,
濱,
濮,
濛,
瀉,
瀋,
濺,
瀑,
瀁,
瀏,
瀛,
瀚,
潴,
瀝,
瀘,
瀟,
瀰,
瀾,
瀲,
灑,
灣,
炙,
炒,
炯,
烱,
炸,
炳,
炮,
烟,
烋,
烝,
焉,
烽,
焜,
焙,
煥,
熈,
煦,
煢,
煌,
煖,
煬,
熏,
燻,
熄,
熕,
熨,
熬,
燗,
熹,
熾,
燒,
燉,
燔,
燠,
燬,
燧,
燵,
燼,
燹,
爍,
爐,
爛,
爨,
爭,
爬,
爰,
爲,
爻,
爼,
爿,
牀,
牆,
牋,
牘,
牴,
牾,
犂,
犁,
犇,
犒,
犖,
犢,
犧,
犹,
犲,
狃,
狆,
狄,
狎,
狢,
狠,
狹,
狷,
倏,
猗,
猊,
猜,
猖,
猝,
猴,
猯,
猩,
獎,
獏,
默,
獗,
獪,
獨,
獰,
獸,
獵,
獻,
獺,
玳,
珎,
玻,
珀,
珥,
珮,
珞,
璢,
琅,
瑯,
琥,
珸,
琺,
瑕,
琿,
瑟,
瑙,
瑁,
瑜,
瑩,
瑰,
瑣,
瑪,
瑾,
璋,
璞,
瓊,
瓏,
瓔,
珱,
瓠,
瓣,
瓧,
瓩,
瓮,
瓲,
瓰,
瓱,
瓸,
瓷,
甄,
甃,
甅,
甌,
甎,
甍,
甕,
甓,
甞,
甬,
甼,
畄,
畍,
畊,
畉,
畛,
畆,
畚,
畩,
畤,
畧,
畫,
畭,
畸,
當,
疆,
疇,
畴,
疊,
疉,
疂,
疔,
疚,
疝,
疥,
疣,
痂,
疳,
痃,
疵,
疽,
疸,
疼,
疱,
痍,
痊,
痙,
痣,
痞,
痾,
痿,
痼,
瘁,
痲,
痳,
瘋,
瘍,
瘉,
瘟,
瘧,
瘠,
瘡,
瘢,
瘤,
瘴,
瘰,
瘻,
癇,
癈,
癆,
癜,
癘,
癡,
癢,
癨,
癩,
癪,
癧,
癬,
癰,
癲,
癶,
癸,
發,
皀,
皃,
皈,
皋,
皎,
皖,
皙,
皚,
皰,
皴,
皸,
皹,
皺,
盂,
盍,
盖,
盒,
盞,
盡,
盥,
盧,
盪,
蘯,
盻,
眈,
眇,
眄,
眤,
眞,
眥,
眦,
眛,
眷,
睇,
睚,
睨,
睫,
睛,
睥,
睿,
睹,
瞎,
瞋,
瞠,
瞞,
瞰,
瞶,
瞹,
瞿,
瞼,
瞽,
瞻,
矇,
矍,
矗,
矚,
矜,
矣,
矮,
矼,
砌,
砒,
砠,
礪,
硅,
碎,
硴,
碆,
硼,
碚,
碌,
碣,
碵,
碪,
碯,
磑,
磆,
磋,
磔,
碾,
碼,
磅,
磊,
磬,
磧,
磚,
磽,
磴,
礇,
礒,
礑,
礙,
礬,
礫,
祠,
祗,
祚,
祕,
祺,
祿,
禊,
禝,
禧,
齋,
禪,
